Sex,Week,Age,cov_deaths_wk,cov_cases_wk,cov_tests_wk,Deaths
b,11,0,NA,0.40000000000000036,260.8,4
b,11,5,NA,0.6000000000000005,131.2,1
b,11,10,NA,0.40000000000000036,67,2
b,11,15,NA,1.6000000000000014,73,2
b,11,20,NA,8.699999999999996,193.90000000000003,2
b,11,25,NA,18.299999999999997,380.09999999999997,3
b,11,30,NA,21.599999999999994,480.59999999999997,1
b,11,35,NA,28.400000000000006,522.4000000000001,9
b,11,40,NA,48.69999999999999,595.4000000000001,5.000000000000001
b,11,45,NA,53.30000000000001,592.5999999999999,11
b,11,50,NA,39.500000000000014,558.8000000000001,17
b,11,55,NA,38.5,507.19999999999993,35
b,11,60,NA,45.50000000000001,467.90000000000003,64
b,11,65,NA,48.49999999999999,456.09999999999997,105
b,11,70,NA,54.400000000000006,507.5,125
b,11,75,NA,51.599999999999994,466.5,169
b,11,80,NA,49.199999999999996,393.79999999999995,157
b,11,85,NA,30.800000000000004,264.20000000000005,170
b,11,90,NA,9.3,130.4,121
b,11,95,NA,2.4,38.900000000000006,52
b,11,100,NA,0.3,5.7,11
b,12,0,NA,2,207,2
b,12,5,NA,3,116,1
b,12,10,NA,3.5,91.69999999999999,2
b,12,15,NA,7.5,118.30000000000001,1
b,12,20,NA,25,254.5,1
b,12,25,NA,44.999999999999986,474.5000000000001,2
b,12,30,NA,47.20000000000002,590.6000000000001,4
b,12,35,NA,48.79999999999998,615.3999999999999,4
b,12,40,NA,63.70000000000002,686.0999999999999,12
b,12,45,NA,94.30000000000001,718.9000000000001,11
b,12,50,NA,120.5,736.3999999999999,23
b,12,55,NA,107.49999999999999,677.6000000000001,32
b,12,60,NA,86.19999999999999,590,53
b,12,65,NA,87.80000000000001,546,86
b,12,70,NA,115.99999999999999,597.1999999999999,134
b,12,75,NA,107.00000000000001,542.8000000000001,178.00000000000003
b,12,80,NA,74.7,452.30000000000007,191
b,12,85,NA,41.3,306.69999999999993,210
b,12,90,NA,18.5,156.89999999999998,132
b,12,95,NA,4.9,48.7,53
b,12,100,NA,0.6000000000000001,7.4,8
b,13,0,NA,6.6000000000000005,442.9000000000001,2
b,13,5,NA,9.399999999999999,346.1,0
b,13,10,NA,14.299999999999999,359.79999999999995,0
b,13,15,NA,29.699999999999996,487.20000000000005,2
b,13,20,NA,82.10000000000001,951.1,2
b,13,25,NA,146.90000000000003,1647.9,0
b,13,30,NA,153.5,1971,1
b,13,35,NA,151.5,2068,3
b,13,40,NA,186.6,2423.3,5
b,13,45,NA,218.39999999999998,2619.7,11
b,13,50,NA,231.09999999999997,2672.4,15
b,13,55,NA,203.90000000000003,2404.6,36
b,13,60,NA,162.4,1914.8999999999999,53
b,13,65,NA,123.6,1428.1000000000001,77
b,13,70,NA,99.10000000000002,1165.8000000000002,141
b,13,75,NA,79.89999999999998,888.1999999999998,154
b,13,80,NA,77.80000000000001,740.8999999999999,197
b,13,85,NA,63.19999999999999,556.1000000000001,190
b,13,90,NA,37,320.40000000000003,165
b,13,95,NA,12.799999999999999,110.79999999999998,52
b,13,100,NA,2.1999999999999997,18.800000000000004,5
b,14,0,0,14.399999999999999,678.8999999999999,3
b,14,5,0,17.599999999999998,500.1,0
b,14,10,0,25.500000000000004,499.60000000000014,0
b,14,15,0,46.5,661.3999999999999,0
b,14,20,0,107.70000000000002,1240.6000000000001,3
b,14,25,0,164.29999999999995,1934.3999999999996,4
b,14,30,-0.1,140.5,1965.1,2
b,14,35,0,111.5,1817.9,3
b,14,40,0,118.89999999999998,2091.2999999999993,5
b,14,45,0.10000000000000009,144.10000000000002,2342.7000000000007,19
b,14,50,0.5,174,2470.8999999999996,23
b,14,55,1.3999999999999995,160,2251.1000000000004,32
b,14,60,4.799999999999999,116.89999999999998,1796.9,57
b,14,65,9.4,79.10000000000002,1368.1,86
b,14,70,13.999999999999996,61.19999999999999,1167.1,150
b,14,75,16.599999999999994,51.80000000000001,888.9000000000001,197
b,14,80,17.1,53.69999999999999,684.2000000000003,194
b,14,85,15.600000000000001,45.30000000000001,468.79999999999995,181
b,14,90,12.8,26.900000000000006,255.29999999999995,132
b,14,95,6.1,9.5,85.60000000000002,55
b,14,100,1.4000000000000001,1.6000000000000005,14.099999999999994,10
b,15,0,0,7.5000000000000036,850.2,2
b,15,5,0,10.5,659.8,0
b,15,10,0,17.89999999999999,649.8999999999999,0
b,15,15,0,35.10000000000001,749.0999999999999,0
b,15,20,0,79.69999999999999,1134.5,1
b,15,25,0,114.30000000000007,1603.5,1
b,15,30,0.1,91.59999999999997,1773.1000000000004,3
b,15,35,0.1,76.40000000000003,1838.8999999999996,3
b,15,40,0.2,95.80000000000007,2111.1000000000004,7
b,15,45,0.3999999999999999,111.19999999999993,2166.8999999999996,12
b,15,50,0.7999999999999998,109.10000000000002,2115.7000000000007,17
b,15,55,1.6000000000000005,96.89999999999998,1960.2999999999993,30
b,15,60,2.4000000000000004,79.80000000000007,1687.6999999999998,64
b,15,65,4.399999999999999,57.19999999999999,1329.3000000000002,91
b,15,70,9.5,42.69999999999999,1110.1000000000004,149
b,15,75,13.900000000000006,38.30000000000001,844.9000000000001,166
b,15,80,17.4,46.39999999999998,684,202
b,15,85,14.899999999999999,44.599999999999994,492.9999999999998,190
b,15,90,8.299999999999997,29,274.80000000000007,142
b,15,95,2.8999999999999986,10.900000000000002,92.80000000000001,56
b,15,100,0.5,2,15.400000000000006,8
b,16,0,0,11.5,2100.2,6
b,16,5,0,15.5,1716.8000000000002,1
b,16,10,0,25.400000000000006,1726.5000000000002,0
b,16,15,0,43.599999999999994,1935.5,1
b,16,20,0,78.59999999999997,2795.3999999999996,2
b,16,25,0,101.39999999999998,3897.5999999999995,6
b,16,30,0,88.30000000000007,4358,4
b,16,35,0,78.69999999999993,4452,5
b,16,40,0,92.69999999999993,4984.9,8
b,16,45,0.19999999999999996,104.30000000000007,5311.1,11
b,16,50,0.5,105.89999999999998,5611.4,15
b,16,55,1.0999999999999996,93.10000000000002,5230.6,39
